	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
86	27.19999999	2020	1	4	14	0	SPO-FI00080_00005_100
87	27.6	2020	1	4	15	0	SPO-FI00080_00005_100
88	14.5	2020	1	4	16	0	SPO-FI00080_00005_100
89	8.0	2020	1	4	17	0	SPO-FI00080_00005_100
90	5.09999999	2020	1	4	18	0	SPO-FI00080_00005_100
91	6.79999999	2020	1	4	19	0	SPO-FI00080_00005_100
92	6.59999999	2020	1	4	20	0	SPO-FI00080_00005_100
93	7.2	2020	1	4	21	0	SPO-FI00080_00005_100
94	8.8	2020	1	4	22	0	SPO-FI00080_00005_100
95	8.3	2020	1	4	23	0	SPO-FI00080_00005_100
96	7.79999999	2020	1	5	0	0	SPO-FI00080_00005_100
97	9.9	2020	1	5	1	0	SPO-FI00080_00005_100
98	9.3	2020	1	5	2	0	SPO-FI00080_00005_100
99	9.5	2020	1	5	3	0	SPO-FI00080_00005_100
100	10.19999999	2020	1	5	4	0	SPO-FI00080_00005_100
101	11.3	2020	1	5	5	0	SPO-FI00080_00005_100
102	12.6	2020	1	5	6	0	SPO-FI00080_00005_100
103	12.8	2020	1	5	7	0	SPO-FI00080_00005_100
104	12.0	2020	1	5	8	0	SPO-FI00080_00005_100
105	12.69999999	2020	1	5	9	0	SPO-FI00080_00005_100
106	13.3	2020	1	5	10	0	SPO-FI00080_00005_100
107	11.19999999	2020	1	5	11	0	SPO-FI00080_00005_100
108	12.69999999	2020	1	5	12	0	SPO-FI00080_00005_100
109	16.5	2020	1	5	13	0	SPO-FI00080_00005_100
110	16.1	2020	1	5	14	0	SPO-FI00080_00005_100
111	15.19999999	2020	1	5	15	0	SPO-FI00080_00005_100
112	16.69999999	2020	1	5	16	0	SPO-FI00080_00005_100
113	27.8	2020	1	5	17	0	SPO-FI00080_00005_100
114	36.7	2020	1	5	18	0	SPO-FI00080_00005_100
115	47.5	2020	1	5	19	0	SPO-FI00080_00005_100
116	33.7	2020	1	5	20	0	SPO-FI00080_00005_100
117	32.29999999	2020	1	5	21	0	SPO-FI00080_00005_100
118	16.19999999	2020	1	5	22	0	SPO-FI00080_00005_100
119	12.3	2020	1	5	23	0	SPO-FI00080_00005_100
